Beatmap,SR
3820253 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.15x],7.3759
3211370 | The Truth Never Spoken [Empty Pages 1.05x],7.3756
4399286 | Shoujo A [Quick and hateful cold [1.25x Rate]],7.3745
2889647 | Flamenco House [Funky x1.4],7.3691
"2982246 | saihate [Coma [1,15x Rate]]",7.3656
4283840 | Onus Regulus [Judgmental Obliteration | 4K Extra],7.3648
2524290 | Fly Me To The Moon (Infinite Climax Mix) (Cut Ver.) [1.2],7.3643
459755 | The Scales of Struggle [Collab Extreme],7.3636
777706 | Yura-Yura Sweet Genocide [feat. t+pazolite] [YuRa-yUrA!!!],7.3622
2433642 | Nest [Egg 1.1],7.3620
4458107 | Bizzare Nation [Abomination // Extra],7.3603
2818882 | Hustler (feat. Highdiwaan) [Ghost],7.3594
3138043 | super anime groove 3d world [Jacky Groove // 1.4x],7.3578
3588518 | traveling [flowing 1.1x (129bpm)],7.3541
2511369 | LTD Pack [Skan - Warrior (feat. Highdiwaan)],7.3539
2701197 | Time to Say Goodbye [Farewell 1.05x (263bpm)],7.3492
3084904 | Matusa Bomber [1.05],7.3492
3729617 | Makiba [Extra 1.1x (185bpm)],7.3479
3460359 | Bookmaker [EX],7.3477
3454814 | Pacific Girls [IcyWorld 1.3x],7.3475
3777278 | RE:WIND [Precious x1.3],7.3443
2875490 | NANOHANA [X],7.3405
4060907 | Kuroki Sakura wa Ai: Sono Shi o Kou [Blossoms of Melancholia],7.3404
2731181 | Back! to the Future (Cut Ver.) [Jack! to the  Future 1.4x (168bpm)],7.3392
2408832 | Zombie Sunset [Apocalypse [1.4x Rate]],7.3377
750518 | Architecture [Mat's 4k DEATH],7.3312
1753422 | Quadraphinix [Challenge 1.4x],7.3279
1778183 | Starfall [Planetary Annihilation 1.1x],7.3163
2512646 | Here I Go Again [where u going though 1.4x],7.3146
2480044 | Who's That Boy [hear me blingo on my guitarra 20% faster],7.3128
4317707 | Desperado Waltz [Skogarmaor 1.4x (241bpm)],7.3115
2827576 | ch3rry [Sar4CORE! [1.25x Rate]],7.3113
4476891 | Bluenation [1.4x],7.3083
1563106 | The Clockwork Rose -Tokei Shikake no Bara Shoujo- [LN Master 1.2x],7.3079
2771697 | Angel's Salad ('Le mythe etendu' ver.) [indifference 1.1],7.3010
3361328 | Ariabl'eyeS Collection [Kegarenaki Barajuuji],7.2983
3987692 | t/a/n/a/s/i/n/n [d/o/r/a/e/m/o/n],7.2885
2790755 | Zen'on [Distress 1.4x (251bpm)],7.2865
3718966 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.25x Rate]],7.2811
4874227 | Angels Crying [here we go again 1.2x],7.2796
3261954 | arpia97's Vibro Anthology [Indomitable Spirit (Hommarju Remix)],7.2700
3674468 | GOTTASADAE [GOTTASADAE x1.15],7.2676
2592117 | Violent Arcade [Sudden Death x1.15],7.2656
3889544 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.15x (230bpm)],7.2636
"3180932 | Excuse My Rudeness, But Could You Please RIP?<3 (t+pazolite Remix) [LN's Reaper 1.1x (286bpm)]",7.2621
3106437 | WE LUV LAMA [NB4 Hard 16 1.4x],7.2567
4108896 | G e n g a o z o -Noize of Nocent- [Innocence 0.85x],7.2535
4775999 | Echoes of Memoria [Solace of Oblivion],7.2516
3038356 | floating point (Drumcorps Remix) [Shoegazer's Incomputable 1.2x],7.2485
4640474 | ukigumo [4K MX 1.4x (249bpm)],7.2435
