Beatmap,SR,Objects,Variety,Spikiness,Switch
4389065 | Per Aspera Ad Astra (Long Version) [Interstellar // Ene's 7K],8.4452,4826,3.4353,1.0476,1.0156
3537471 | 7K Terminal 11 Technical Pack [Reluctantly Accepting Temporary Overexhaustion],8.4434,4896,3.2868,1.0334,1.0474
4300654 | late in autumn [Hard Lv.80],8.4423,4858,3.6349,1.1363,0.9693
4520613 | Campanella [NoName's 7K Takeoff],8.4365,3445,2.8231,0.9705,1.0156
2428769 | entelecheia [Elan Vital],8.4358,2473,2.9862,0.9964,0.9785
1934142 | Wanderflux [Annihilation],8.4320,4193,3.2169,1.0032,1.0063
2672366 | Kim_GodSSI's LN Practice Pack 1 [M2U - Dual Fractal],8.4316,1748,3.6225,0.9817,1.0229
364505 | Unlimited Spark! (remake) [Extra],8.4293,2372,3.3630,1.0484,0.9639
329057 | Music Revolver [Hard],8.4234,2133,3.0521,1.0119,0.9826
891715 | Blue Zenith [Bluanother III (Stratosphere)],8.4225,5400,2.9338,1.0091,1.0435
3389414 | FREEDOM DiVE [ULTRA],8.4200,6843,2.8619,1.0428,0.9767
871018 | satori de pon! [HaRaSho],8.4165,3747,2.7303,0.9921,1.0240
1599283 | Sudden Romance [Fly High],8.4148,6863,2.5972,1.0756,0.8689
4186081 | Selenadia [Takeoff],8.4067,3425,2.9176,0.9870,0.9994
1324224 | Cartoon Candy [Lulu's 7K Jelly Bean],8.3986,4869,3.2877,1.0486,0.9687
1928877 | crossing blue [Jakads' 7K HEAVENLY],8.3936,2898,3.1801,1.0289,0.9492
3505513 | Gypsophila [cocoon st0 1.25x (189bpm)],8.3931,2569,3.2225,1.0168,1.1215
2295887 | 99.9 / Eurobeat Remix [Paranormal drift 1.2x],8.3905,3613,2.9984,1.0073,0.9783
4607105 | Ars Nova ni Kassai o [Hope // Ultimate],8.3884,3587,3.0909,1.0505,1.0061
3069533 | flying in the flow of deep-sea [Into the abyss],8.3857,5591,3.8452,1.0663,1.0268
2998625 | Scattered Pancakes (Short Ver.) [Oversweet],8.3814,3717,3.0510,1.0565,0.9644
3267117 | Flamewall [Leeju's 7K Blazing Heart],8.3808,9455,3.1949,1.0436,1.0118
"874163 | Palette GAMMA [0,9x (sp8)]",8.3747,2357,2.8405,0.9928,1.0512
2894514 | Influencer (Lize Helesta x Inui Toko Cover) [Lvl 09 BMS (Bracket) [1.4x Rate]],8.3717,4743,2.9055,1.0206,0.9560
4797712 | FAKE PROMISE [TRUTHFUL LIE 0.95x (181)],8.3695,11950,2.5438,0.9900,0.9510
834301 | Otenba Koimusume [Beloved Tomboyish Girl],8.3687,2244,3.0893,1.0004,0.9874
1140931 | bbu2's DJ Sharpnel 7K [FUTURE DOMINATOR [Noooooong]],8.3536,8386,2.7552,0.9721,1.0014
3937680 | theyaremanycolors [synesthesia],8.3528,3660,3.1620,1.0176,1.0235
962586 | New World [Final],8.3449,4835,3.1599,1.0862,0.9726
3472516 | M2U Pack [Nightmare 7K],8.3393,2625,3.0627,1.0977,0.8970
3613257 | People People feat. Nanahira [CS vs. Kim's 7K Sleep With Full Force!!],8.3359,4943,3.0124,1.0344,0.9633
3389479 | dressurf's 7k practice charts [nitro - [line:theta]],8.3322,4341,2.9317,1.0143,0.9425
4066726 | CO5M1C R4ILR0AD [M1LKY W4Y],8.3302,3538,2.9920,1.0010,0.9735
1536787 | Deublithick [Ultra],8.3224,2730,2.9934,1.0686,0.9185
872354 | crazy_tek (DJ Noriken Remix) [UHD 0.85x],8.3199,4011,2.9026,1.0305,0.9669
4404685 | Everlasting Eternity [Limitless],8.3195,7512,3.5615,1.0366,1.0275
3358458 | Newspapers for Magicians [Magic],8.3159,6000,3.3912,1.0329,1.0109
4139210 | Reality Distortion [Dreamless Wanderer],8.3153,4563,3.8071,1.0174,1.0433
1966467 | Regular Dan Phase III [10th Dan],8.3143,11396,3.1128,0.9945,0.9865
"1389941 | Unorthodox Red [ExInyf's Card 7K ""Red Hell""]",8.3123,5489,3.0669,1.0597,0.9762
1179732 | Blue Zenith [jakads' Dimensions],8.3120,5643,2.7730,1.0020,1.0315
3438697 | Deadly force - Put an end [Crisis],8.3107,7471,3.1172,1.0408,1.0051
4000616 | Glooorious!! [Booouncing!!],8.3030,3775,3.4483,1.0055,1.0280
1436278 | Black lotus [CuCu],8.2979,2357,3.0141,1.0401,0.9688
1608665 | volcanic [Pyroclasm],8.2975,9689,2.5685,0.9968,0.9518
2981104 | Nakano Yuko Map Collection [Camellia - Circles of Death],8.2960,5162,2.8189,1.0383,0.9824
3692004 | Triumphal Return [Ultra],8.2940,3737,2.9080,0.9728,1.0328
4578208 | DiSANiMATE [Expert],8.2923,8000,3.1659,0.9991,0.9842
3537060 | Aegleseeker [Epilogue],8.2906,3670,3.0379,1.0264,1.0097
2099077 | Black Lotus [Another],8.2878,2961,2.7957,1.0145,0.9789
2158908 | #be_fortunate [#rice_of_luck],8.2865,4000,2.7012,1.0178,0.9677
2008418 | Koakuma x3 no Daidasso!? [Chaos],8.2837,2770,3.2480,1.0275,0.9661
4261043 | Gaehwa [Extreme],8.2815,3307,3.3772,1.0178,0.9829
3179523 | PAM!!! feat. Onjuicy [FOXSKY Version] [7K MONK MONK MONKAS!!! Arc],8.2801,4449,2.9066,0.9997,0.9818
1130039 | Zen Zen Zense [Suisei],8.2770,5956,3.4342,1.0435,1.0146
4481017 | Kagaribi [Embers],8.2710,3495,2.9471,1.0301,0.9937
1122762 | sink to the deep sea world [bedrock],8.2678,6031,2.9933,0.9913,1.0042
948777 | Ascension to Heaven [Elysium],8.2672,5062,2.9900,1.0414,0.9993
1802831 | TIEFSEE [Despair],8.2644,6889,3.1375,1.0371,1.0054
4663990 | Vomit [Wonki's Catharsis],8.2619,3219,3.5096,1.0016,1.0501
1351223 | Hold Angel [Angel],8.2587,2182,3.2858,1.0537,1.0095
1886210 | LA MD [LAAAAAAAAAAAAAAAAAAAAAAAA],8.2583,9608,2.7424,1.0166,0.9571
855946 | Ordinary World [Hard],8.2547,3594,3.5448,1.0834,0.9918
3479099 | Comet (2019 Reworks) [Let's Jump!!],8.2530,5000,2.9845,1.0490,0.9748
3818593 | Prayer [Goddess],8.2515,2769,3.0569,1.0095,0.9771
4264808 | pupa (TV Size) [Metamorphosis],8.2451,622,3.5313,1.0915,1.0543
823121 | Piano Beatmap Set [William Tell - 7K EX],8.2418,3718,2.6283,1.1326,0.8612
2477486 | PEACE BREAKER [Fallout.],8.2375,8114,3.0811,1.0508,1.0652
1592340 | Illegal trap [EX],8.2338,5800,2.9930,1.0479,1.0345
698696 | Weave Detonator [Unraveling Destruction],8.2307,5757,3.3192,1.1206,0.9756
1239907 | Scattered Faith [],8.2245,2632,3.1646,1.0474,0.9925
3450823 | w/WWW feat. Hoshimiya Toto [GO FUN ? [NSV]],8.2202,4415,3.1157,1.0427,0.9780
3858523 | Celestial Horizon [Serenity],8.2169,2655,3.4200,1.0501,1.0033
4492096 | Kizuitara Shunkashuutou [Seasons],8.2169,8300,2.5302,1.0108,0.8826
2239868 | LOSHAXI [BLOCKO'S ATONALITY],8.2167,2414,3.1268,1.0742,0.9635
2414760 | Hana ni Bourei [A midsummer's memory],8.2161,3800,3.5014,1.0680,0.9744
"1477471 | I found this in my trash can. [Please, don't delete]",8.2140,4860,3.2732,1.0646,1.0275
760453 | Aragami [7K Finale],8.2137,2213,3.2517,1.0845,0.9965
1015315 | Ryokugan no Jealousy [Lunatic],8.2136,4723,3.1020,1.0112,1.0019
1217637 | Chuj Kurwa [CH_UJ's 7KURWATHER],8.2118,2359,3.4103,1.3013,0.9994
3090158 | Rainbow Magic!! [Iridescent],8.2115,2945,3.0625,1.0129,1.0287
1609766 | Exterminate [7k],8.2072,4577,3.3484,1.0729,0.9924
2694154 | Halcyon -Long Version- [Halcyon Days],8.2040,6021,3.0815,1.0488,0.9687
2540032 | Tsukiyo ni Mau Koi no Hana [Heartbeat],8.1997,6726,3.1861,1.0614,0.9331
2981086 | Nakano Yuko Map Collection [technoplanet - Redshift [Extended Mix]],8.1986,6276,3.0967,1.0690,0.9498
2431808 | Four Leaves [Nanatsuba],8.1972,4477,3.2758,1.0799,0.9893
4249332 | Seiga Itten (full ver.) [Luminous Hope],8.1901,5121,3.5113,1.0470,1.0095
2480549 | 7K Utattemita Pack 2 [Recollection Endroll (WaMi)],8.1898,5000,2.8940,0.9818,1.0243
2923825 | KLASSIKER EINHEIT [BMS LV.23 [Yasashiku]],8.1898,6876,2.4743,1.0030,0.9814
2579641 | Cyber Inductance [SAMTHER],8.1867,7944,2.6168,0.9840,0.9648
1140932 | bbu2's DJ Sharpnel 7K [Gate Openerz],8.1850,6720,2.6606,0.9827,0.9779
3008821 | Nakano Yuko Map Collection [YZYX - Illusionary overflowing],8.1810,3659,2.9069,1.0423,0.9829
3459275 | Alice in Reitouko [Leeju's 7K Terni in Freezer],8.1680,6500,3.3154,1.0500,1.0039
3416761 | Euphoria [CELESTIAL],8.1677,5187,3.1908,1.0179,0.9976
3652199 | Itsuka Otona ni Nareru to Ii ne. [EM],8.1653,4100,3.3132,1.0237,1.0233
4573155 | Sakasama no Lady [Ready?],8.1560,5000,2.9610,1.0043,1.0088
3810526 | Bad for me (Dz'Xa's Amenpunk) [Longing for love],8.1505,4584,2.9150,0.9875,0.9899
2197819 | Flexo123's KPOP Pack [LOONA - Hi High],8.1485,3822,3.2094,1.0520,1.0179
917378 | Vitalization [SHD],8.1436,4012,3.3634,1.1347,0.9486
2341314 | w/WWW feat. Hoshimiya Toto [GO FUN ?],8.1409,4438,3.0974,1.0459,0.9759
2769920 | Frontier Explorer [Voyager [0.9x Rate]],8.1402,4482,2.5611,1.0154,0.9374
2753422 | Generic Holiday Song [* Merry Christmas ! ! * [1.2x Rate]],8.1386,3370,2.9711,1.0688,0.9319
3641579 | Dancing In The Blue [To You x1.3],8.1352,4288,2.8143,0.9739,1.0090
4554404 | Ataraxia [NoName's 7K Ultra],8.1275,2821,3.2026,1.0126,0.9933
3010130 | Midnight Trickster [StreamJun],8.1266,2939,2.9370,1.0070,0.9885
831204 | The Limit Does Not Exist [Infinity],8.1226,2835,3.1150,1.0783,1.0685
3380817 | Mach space journey [COSMIC CHAOS],8.1224,2258,3.1204,1.0891,0.9689
4763042 | Fractured Heaven [Virtue],8.1213,4124,3.1435,1.0487,1.0086
1857797 | Zouka de Arou to Shita Mono [Lunatic x1.2],8.1188,4162,2.9086,1.0124,0.9597
3855005 | BEYOND [Expert],8.1162,3201,3.0640,1.0179,1.0194
2167361 | R.I.P. [7K Rest In Peace],8.1149,2509,3.2588,1.0619,0.9249
3423801 | Exitium [Expert],8.1138,3114,3.3154,1.0749,1.0004
3124650 | Lost Umbrella (7_7 bootleg) [Rain 1.1x],8.0995,4144,2.7174,0.9785,0.9910
2537589 | Moon-gate [God],8.0957,3340,2.5196,0.9762,0.9445
3093083 | Ao To Natsu [Our Summer Isn't Over],8.0912,5000,3.3472,1.0497,0.9951
2380314 | Virtual to LIVE [Towards a Bright Tomorrow],8.0881,4590,3.4101,1.0285,1.0252
3505510 | Gypsophila [cocoon st0 1.2x (181bpm)],8.0857,2569,3.2479,1.0161,1.1204
766085 | Wind God Girl [BMS 21],8.0758,6131,2.7208,0.9962,0.9869
486159 | 12 little fragments of silence [............],8.0750,6261,3.1336,1.0751,0.9732
4489964 | Cutter (Short Ver.) [_KB vs. CS' Emotional Damage],8.0713,3605,3.1265,1.0486,1.0157
4205295 | Take a Hint feat. Victoria Justice & Elizabeth Gillies (Sped Up & Cut Ver.) [Take a Mint],8.0708,1093,3.2931,0.9770,1.0137
1933285 | GO FOR IT !! (Cut Ver.) [BC x1.2(176)],8.0694,3366,2.5016,1.0049,0.9327
3838918 | Last Wish [Festering Desire],8.0671,6516,3.5162,1.0724,0.9717
2480551 | 7K Utattemita Pack 2 [Tautology Doubtful (WaMi)],8.0653,4500,2.9221,0.9941,1.0132
3402421 | MOON [Search for Happiness],8.0619,2441,3.1005,0.9458,1.0259
2562054 | dressurf's 7k practice charts [L.E.D. vs. S-C-U - Confiserie],8.0609,3052,2.5719,1.0249,0.9432
2261284 | Gardens Under A Spring Sky [Tranquility],8.0563,2466,3.3886,1.0336,1.0019
3486697 | Deep Dream [Somniloquy],8.0544,7419,3.2984,1.0603,0.9996
4024518 | Duplicity Shade [Let there be light],8.0421,8710,3.3796,1.0810,0.9766
1425733 | Mmmmmmm [Lv.87 For O2JAM],8.0413,4027,3.0076,1.0289,0.9692
1849726 | Gravitation [Extra Hard],8.0367,5588,3.1027,1.0866,0.9723
2981082 | Nakano Yuko Map Collection [Neokontrol feat. Dustvoxx & Laur - FIRELIGHT],8.0346,9682,2.9112,0.9930,1.0125
3456870 | Pacific Girls [Sink to the deep sea world],8.0331,9170,2.5690,0.9592,0.9953
4371640 | Parallel Universe Shifter [Multiverse],8.0241,10008,3.4432,1.1018,1.0148
2788381 | Pitch Fucker [diplacusis 1.4x],8.0184,2607,2.4869,1.0150,0.8548
3937814 | theyaremanycolors [tyrcsense],8.0176,3073,3.3000,1.0556,1.0317
3512199 | PRAGMATISM -RESURRECTION- [Future],8.0126,3411,3.2477,1.0405,1.0642
891713 | Blue Zenith [Bluanother II (Ascension)],8.0105,5046,2.9995,1.0154,1.0566
1933949 | Wanderflux [Annihilation (240 bpm ver)],8.0025,4193,3.2788,1.0037,1.0080
4225836 | Twin*kle Snowglobe [Toward the Galaxies] [[EMOTIONAL]],7.9989,5635,2.9117,0.9939,0.9830
"2247218 | Tiny Little Adiantum (deadman's ""Omae Wa Mou"" remix) [Shindeiru x1.2]",7.9976,3118,2.3602,1.0150,0.8551
3755325 | For UltraPlayers [Evening's ULTRA],7.9956,3084,2.8158,0.9912,0.9777
2475158 | Juvenile [Good old memories],7.9864,3160,3.2793,1.0447,0.9798
1584559 | GALAXY BURST [Outburst],7.9861,5152,2.9490,1.1106,0.9397
708860 | Other Side [Collab],7.9770,3334,3.4855,1.1280,0.9291
1181032 | Wizdomiot [Rational Punishment],7.9763,2621,3.3192,1.0841,0.9807
2883476 | xNett's Kpop 7k LN pack [SUNMI - pporappippam],7.9749,2846,3.5111,1.0247,0.9867
1712980 | Ame to Asphalt [7K Shower],7.9665,4250,3.4854,1.1099,0.9625
1648263 | planetarium [HEAVENLY],7.9647,2618,3.1109,1.0386,0.9602
1539702 | Valhalla [Collab Grimnismal],7.9615,4328,3.5525,1.0853,0.9635
2562055 | dressurf's 7k practice charts [MIssionary vs. Mimineko - Libra],7.9563,3053,2.7724,1.0283,0.9288
"3950097 | Aegleseeker (""Afterworld"" Full Version) [Expert]",7.9558,7288,3.5532,1.0788,1.0555
3189029 | Nibelungen [Akasha's Leggendaria],7.9532,3269,3.3897,1.0754,0.9691
1239794 | BLACK or WHITE? [Monochromatic Horizon],7.9467,7163,3.0661,1.0377,0.9561
4133405 | CO5M1C R4ILR0AD [tyrcs' BL4CK 4N0TH3R],7.9436,3153,2.9247,1.0519,0.9342
4275218 | Speedcore Sonata [Presto],7.9416,3667,3.2565,1.0786,1.0441
355186 | Alteration [Lv.75],7.9341,3228,3.2512,1.0701,1.0105
2278399 | Crush [Starlight [1.4x Rate]],7.9324,2860,2.8566,0.9879,0.9801
2295886 | 99.9 / Eurobeat Remix [Paranormal drift 1.1x],7.9310,3613,3.0091,1.0127,0.9601
3141770 | PAM!!! feat. Onjuicy [FOXSKY Version] [Rem's 7K susJAMsusJAMsusJAMsusJAM],7.9301,3590,3.3964,1.0805,0.9929
2428772 | entelecheia [Wonki's Orgon],7.9278,2289,3.0088,1.0521,0.9391
4520608 | Campanella [NoName's 7K Extreme],7.9259,3171,2.8766,0.9655,1.0383
2981080 | Nakano Yuko Map Collection [Lime - Replica],7.9240,3507,2.7399,0.9892,0.9877
4496118 | Conversation Logic [Communication Logic // Extreme],7.9207,5331,2.8898,1.0847,0.8535
1871443 | Ichinen Nikagetsu Hatsuka [BC x1.4(167)],7.9204,3074,2.4945,0.9909,0.9329
3038382 | floating point (Drumcorps Remix) [Approximation 1.1x],7.9166,3890,3.1325,1.0898,0.9536
3817221 | GuNGNiR [Finale],7.9163,2655,3.3207,1.0975,0.9987
1400630 | Deep in Abyss [Down to the Depth of the Abyss],7.9157,3866,3.4778,1.0578,1.0132
1270895 | Inscape [HEAVENLY],7.9110,2400,3.0591,1.0572,0.9990
"3475714 | Take This Life [Komm, susser Tod.]",7.9090,5483,3.1222,1.0335,1.0619
3537470 | 7K Terminal 11 Technical Pack [Miserable Bastard],7.9019,2109,3.0690,1.0149,0.9944
3437094 | Babylon -Prayer- (Remixed by Yooh) (Sped Up Ver.) [Light of Celestial],7.8942,5747,3.1532,1.1083,0.9616
2194377 | Oceanus [_KB's Sunken Dreams],7.8928,2729,2.8530,1.0256,0.9443
3389478 | dressurf's 7k practice charts [Nanahoshi Kangengakudan - MAKE A LOSER (inst)],7.8869,5832,3.0836,1.0272,0.9481
1357771 | Toumei na Kioku no Kazaana [ZenoCORE!],7.8852,5440,3.2820,1.0444,1.0152
4070865 | Frontier Explorer [Extra],7.8785,3884,2.7418,1.0049,0.9816
1546520 | For UltraPlayers [ULTRA],7.8783,2590,3.2034,1.0017,1.0093
3393667 | ReviXy [ETJun],7.8773,4097,2.8978,0.9882,0.9621
2894513 | Influencer (Lize Helesta x Inui Toko Cover) [Lvl 09 BMS (Bracket) [1.3x Rate]],7.8732,4743,2.9267,1.0200,0.9546
3413775 | saihate [Leeju's 7K Eternal Slumber],7.8688,3381,3.2035,1.0416,1.0253
3187056 | Looking for Edge of Ground [One Pioneer's Curiosity],7.8649,8602,3.5411,1.0947,1.0089
1140930 | bbu2's DJ Sharpnel 7K [Burst Linker],7.8591,7127,2.8386,0.9837,0.9899
2981100 | Nakano Yuko Map Collection [Camellia - KillerBeast],7.8584,5196,3.1718,1.0894,0.9428
4001268 | Xecus [Extreme],7.8463,3028,2.7711,1.0178,0.9469
4512659 | Tonight We Fly [Extreme],7.8424,2664,3.5450,0.9916,1.0370
3275676 | 8th:Planet ~Re:search~ [O2:Planet],7.8387,2174,3.0810,1.0078,1.0272
3498415 | Gimmme! [Oyasumi 1.4x],7.8272,4311,2.8325,0.9841,0.9548
1306788 | Yozakura (Delay Ver.) [Lv.16],7.8239,3255,2.6910,1.0207,1.0113
891714 | Blue Zenith [Bluanother I (Ignition)],7.8217,4874,3.0438,1.0010,1.0711
703125 | Raikou -3rd Desire- [tangjinxi's 7k Lv.50],7.8208,4070,2.9554,1.0810,0.9617
4074807 | Ne! Ko! (TV Size) [Nya~],7.8160,1111,3.0320,1.0277,0.9698
3755561 | For UltraPlayers [Blocko's HEAVENLY],7.8149,2750,3.0033,1.0183,0.9898
"3547073 | Excuse My Rudeness, But Could You Please RIP (ReeK's ""Dude Whats A Genre"" Remix) [REST IN PEACE // SEIRAN&HIKARI's COLLAB]",7.8131,8807,3.6782,1.1099,0.9688
2344602 | We Want To Run [Extra],7.8113,3659,3.0258,0.9782,1.0328
1191593 | Knew day [Lv.80],7.8100,4679,2.9975,1.0375,0.9826
4089431 | Triumphal Return [7K Expert],7.8082,3040,3.0349,1.0240,1.0268
249346 | Imperishable Night 2006 [7K Lunatic],7.8077,2697,3.0180,1.1671,0.9460
3856445 | M2U Pack [Lune 7K],7.8061,1953,3.3767,1.0434,0.9866
1821144 | Hype feat. Such (lapix Remix) [Skydiving],7.8058,6350,2.9422,1.0485,0.9649
4623137 | Ano Natsu ni Sake [Smile and Bloom],7.7979,5500,3.1272,1.0036,1.0194
1426466 | Unorthodox Red [7K ExTra],7.7940,4880,3.1711,1.0532,1.0008
4166770 | Grin [Ultra],7.7931,2863,3.4137,1.0321,0.9866
4269216 | tinnitus [Further],7.7927,3530,3.0122,1.0196,0.9733
4021633 | BLUE ARMY (Raytoly's Progressive Hardcore Sped Up Edit) [Ultra],7.7903,3654,2.9873,1.0526,1.0474
1350666 | Remilia ~Kyuuketsuki no Tame no Kyousoukyoku [Concerto Cruento],7.7870,2432,3.6245,1.1451,0.9424
3537469 | 7K Terminal 11 Technical Pack [Exerce],7.7869,6877,3.4701,1.0591,1.0419
1992964 | Shukusai no Elementalia [Noodle Dance],7.7862,3077,3.1188,1.0202,0.9933
980803 | Kronos [Time],7.7845,2847,3.3890,1.0677,0.9610
2537412 | Moon-gate [Legend],7.7795,3095,2.6888,0.9577,0.9601
2981084 | Nakano Yuko Map Collection [pan - Yamiyo no Nagoshisai ~for 2015 edition~],7.7716,3485,2.7565,0.9915,0.9488
2672364 | Kim_GodSSI's LN Practice Pack 1 [Seifuu Meigetsu - Salamandra no Odoriko],7.7669,3901,3.2141,0.9496,0.9922
935255 | Routine [Insane],7.7662,3415,2.7323,0.9828,0.9299
991010 | Glitch Nerds [overloaded_.],7.7629,6245,3.3492,1.0408,0.9929
1942650 | Regular Dan Phase III [9th Dan],7.7625,10769,3.1555,1.0094,0.9749
2627478 | Ano Yume o Nazotte [Dreaming],7.7604,4163,3.3474,1.0512,0.9836
4249326 | pupa (TV Size) [Extra],7.7600,593,3.5910,1.0986,1.0606
3495437 | Dance with Silence [Flying in the Shadow],7.7591,4777,3.6472,1.0896,0.9929
"2276560 | overcomplexification (""Quaternion"" Long ver.) [complex]",7.7586,4868,3.3822,1.0592,1.0083
853364 | Persephone [Enecstacy],7.7560,2030,3.2275,1.0777,0.9557
1115748 | Voyage 1970 [Jinjin's Ocean of Hourai [7K]],7.7507,1688,3.3376,0.9797,1.0823
1400741 | Angelic Party [jakads' Dense-Dance Party!],7.7499,6569,2.7366,1.0347,0.9342
1374611 | Goldrop [Neverland (Lv.70 LN SHD)],7.7484,3475,3.3740,1.0987,0.9179
3470136 | M2U Pack [Saigo no Hanabira // Collabo with ruka 7K],7.7474,3163,3.6968,1.0968,0.9832
770948 | Tsubomi (Long Version) [LV.77],7.7387,5538,3.4100,1.0806,0.9898
3419908 | Time for the moon night [ByeolBit],7.7383,3800,3.6011,1.0475,1.0163
4065230 | Eviternity [Beyond],7.7373,2980,3.3716,1.0239,1.0270
3092852 | Lapis (Kagetora. remix) [Lapis Lazuli],7.7328,7165,3.2790,1.0246,0.9989
2387493 | Kan Saete Kuyashiiwa [D;],7.7309,5000,3.0866,1.0512,0.9918
1980134 | Vend (Cut Ver.) [sp7],7.7296,4015,2.8160,1.0148,0.9166
3979410 | Quark no Umi o Oyoide [Creation 1.2x],7.7284,2271,3.1987,1.0076,1.0916
538161 | C18H27NO3 [Arvie's 7K GRAVITY],7.7276,1860,3.4467,1.1016,0.9796
1759664 | Future Cider [Futuristic Candy],7.7272,4537,3.2131,1.0576,0.9655
2539251 | LN Dan Phase III [9th Dan],7.7245,7333,3.8473,1.0120,1.0483
3537467 | 7K Terminal 11 Technical Pack [Adcar],7.7186,3588,3.4056,1.0170,1.0711
"2873131 | Lost Memory [Memories [1,4x Rate]]",7.7120,2024,2.8198,1.0942,0.8670
4793111 | Vomit [Blocko's Cascade],7.7104,3161,3.4312,1.0033,1.0330
1584567 | GALAXY BURST [Jakads' Ricen't],7.7103,3597,3.7393,1.0596,1.0155
3165981 | ANiMA [Piano Symphonia],7.7081,5726,3.0142,1.0420,0.9527
3226089 | True Blue [7K Farewell],7.7014,4292,3.4259,1.0692,0.9900
2318148 | Gardens Under A Spring Sky [Blocko's Daylight],7.6968,2540,3.0601,1.0617,0.9084
2119517 | Shironaga Star Jet -aquamarine mix- [Cosmic Journey // 7K],7.6874,5276,3.3856,1.0820,0.9250
4236397 | Glucagon [Schopfer's 7K Transcend],7.6872,4613,2.9147,1.0752,0.9254
"957977 | Fairytale, [Asusa's 7k tale]",7.6858,4199,3.6183,1.1244,0.9497
2170140 | #be_fortunate [#blocko's_extra],7.6800,3400,2.9261,1.0282,0.9767
3537472 | 7K Terminal 11 Technical Pack [Staple On Smile],7.6764,2444,3.5647,1.1282,1.0234
3206498 | deltaTime [DeltaJun],7.6763,2191,3.4581,1.0704,0.9303
1597751 | Sudden Romance [Chordmancer (short)],7.6662,3177,2.5340,1.0177,0.8933
3641578 | Dancing In The Blue [To You x1.2],7.6655,4288,2.8484,0.9829,0.9852
873670 | * Crow Solace * [richard's 7K Soluis],7.6600,2075,3.3776,1.0237,1.0212
974969 | o'er the flood [torrent],7.6594,4945,3.1052,1.0950,0.9458
4441958 | Halka Kanata [Farewell],7.6580,3169,2.8317,1.0147,0.9455
323070 | Intersect Thunderbolt-Remix [7K Exceed],7.6503,2819,2.9601,1.0839,0.9796
2817462 | 300 Nuts Per Minute [7K 'Risu Glitch GOD' Arc],7.6498,4420,2.8570,1.0357,0.9658
888793 | Just Hold on (To All Fighters) [Resolve],7.6487,4083,3.4088,1.1020,1.0256
4109027 | Maware! Setsugetsuka (TEKINA Remix) (Sped Up Ver.) [Ultra],7.6453,5640,3.1429,1.1229,0.9851
2457545 | Yoru ni Kakeru [Tanatosu],7.6443,5200,3.0492,1.0427,0.9922
2477481 | PEACE BREAKER [Fallout. 0.9],7.6428,8114,3.1344,1.0634,1.0613
1679787 | Last Resort [Lolicide's GRAVITY],7.6400,2564,3.2882,1.0778,0.9887
3121662 | Electromagnetic Stealth Girl Born In Philadelphia [Overload],7.6366,6091,3.3444,1.0971,0.9569
3185606 | Ko Inu [dysphotic],7.6319,4870,3.4373,1.1053,0.9930
4481018 | Kagaribi [Sparks],7.6293,3241,3.0374,1.0017,1.0150
1920630 | Kawaki Wo Ameku [Lovely],7.6264,3840,3.6040,1.0706,1.0456
1597752 | Sudden Romance [Chordmancer],7.6259,6019,2.6420,1.0540,0.8772
3782921 | Stray Star feat. nayuta [Fragile Memories],7.6213,5840,3.1275,0.9981,1.0083
3043451 | BAD ACCESS (FROM A MOE MAID) [502 BAD GATEWAY (FROM 7K)],7.6187,6201,3.3302,1.0586,1.0261
3630042 | S.A.T.E.L.L.I.T.E. [E.T.],7.6113,5262,3.1944,1.0761,0.8896
3980140 | We Could Get More Machinegun Psystyle! (And More Genre Switches) [Relentless],7.6098,6403,3.3915,1.0692,0.9920
3389408 | FREEDOM DiVE [EXTRA],7.6097,6114,2.9763,1.0480,0.9850
1179733 | Blue Zenith [pporse's Extreme],7.6062,4686,3.0834,1.0305,1.0442
4830389 | Myosotis no Hanataba [A Bouquet of Cerulean Fragrance],7.6057,3978,3.1794,1.0696,0.9386
4262252 | Gaehwa [Expert],7.6034,2760,3.5696,1.0357,0.9997
2327807 | Pastel Rain [yamanai],7.5997,4000,2.9083,0.9742,0.9995
3157134 | Electromagnetic Stealth Girl Born In Philadelphia [para & wawa collab],7.5997,6399,3.5083,1.0358,1.0651
3347872 | RPG [Enigma Fantasy],7.5852,7714,3.4593,1.0811,0.9652
1012860 | T.T.L (Time To Love) [Kim_GodSSI's Lv.72],7.5846,2345,3.0566,1.0147,0.9642
3192178 | Metamorphose=Metafiction [Metanother],7.5846,7379,2.8596,1.0334,0.9733
2981107 | Nakano Yuko Map Collection [Diceros Bicornis - Innocent Tempest],7.5831,3170,2.7645,1.0286,0.9605
4844005 | Gregorius | Symphony [Salvation for All],7.5778,6869,2.5448,0.9820,0.9631
1905810 | Upload Your Mind :: Download My Soul [Galactic Mind :: Soul Burst],7.5768,5069,3.3646,1.0776,0.9800
583877 | Tsuki ni Murakumo Hana ni Kaze [Lunatic],7.5761,3071,3.4344,1.1302,0.9905
1023967 | Doppelganger [jakads' Extra],7.5739,2830,3.3792,1.1171,0.9410
1140929 | bbu2's DJ Sharpnel 7K [Back to the Gate],7.5713,7169,2.8675,0.9786,0.9876
880454 | Brain Power [Jinjin x Blocko's Overdrive],7.5690,2491,3.2175,1.0901,0.9418
